哎呀，刚才加的那个学生名字打错了一个字，怎么改过来？,您在名单里找到这个学生，看他名字右边有两个小图标。您点那个**蓝色的小铅笔图标**，就能重新编辑他的信息了。
点了小铅笔之后呢？,刚才那个小白窗户又会弹出来，里面的字就是现在的名字。您把错字改过来，再点右下角那个**蓝色的“保存”**就行。
有个学生转学走了，我想把他从名单里删掉，点哪？,还是在那个学生名字右边，挨着小铅笔有个**红色的垃圾桶图标**，点这个垃圾桶就是删除。
我点了红垃圾桶，它没直接删，弹个框问我确不确定，这咋整？,这是怕您手误点错了。如果您确定要删，就点那个框里的“确定”按钮；要是点错了，就点“取消”。
如果我把这个学生删了，他以前的考勤记录还有吗？,这个要注意哦，如果删了学生，系统里跟他在一块的课程和考勤记录通常也会被清掉的，所以删的时候要想好。
我想给学生排课，左边菜单该点哪个？,点左边菜单栏里的第三个，叫“课程安排”。
我进来了，但是中间那个大表里全是灰色的横道道，一节课都没有，这是咋回事？,别急，这是因为您还没选是谁的课表呢。您看左上角有个下拉框，写着“选择学生...”，您得先在那选定一个学生，表里才会显示他的课。
假如我想给刚才选的学生加一节课，比如周三的第3节，怎么弄最快？,最快的办法就是直接在表里找位置。您找到“周三”那一列，再对着“第3节”那一行，那个格子上现在是个横杠，您直接用鼠标点那个格子。
点了格子弹出来个框，我看星期和节次它都自己填好了？,对，它很智能。您只要在“科目”那一栏下拉选一个课，比如“数学”或者“物理”，然后点右下角的**蓝紫色“保存”按钮**就行。
我看右上角还有个蓝紫色按钮叫“添加/编辑课程”，那个是干嘛的？,那个也能加课。如果您不想点格子，就点这个按钮，然后自己在弹出的窗户里手动选星期几、第几节，效果是一样的。
如果这节课本来是语文，我想改成数学，咋办？,简单，您直接点那个显示着“语文”的紫色小格子，弹出来窗口后，把科目改成“数学”，再点保存就变过来了。
那要是这节课不上了，变自习或者空堂，怎么把课删了？,您点开那节课，在选科目的下拉列表里，选最上面那个**(空闲)**，选好后点保存，那节课就变回灰色横杠了，这就等于删了。
课表里的颜色我看是浅紫色的，能换别的颜色吗？,目前这个系统里，有课的格子固定都是浅紫色背景、深紫色文字的胶囊形状，这是为了看起来整齐，咱们暂时换不了颜色。
我给张三排完课了，想给李四排，怎么切换？,还是去左上角那个下拉框，重新选“李四”的名字，下面的表格一闪，就变成李四的课表了。
查学生出勤情况点哪里？,点左边菜单栏最后一个，叫“考勤记录”。
进来后下面是空的，写着“该月无考勤记录”，是不是出问题了？,没出问题。和排课一样，您得先在顶上选好是“哪个学生”以及“哪个月份”，选好后还要点一下那个**蓝色的“查询”按钮**，数据才会出来。
那个选月份的地方怎么用？我就想看这个月的。,您点那个像日历一样的小图标，它会弹出一个日历让您选。一般默认就是当月，您只要点旁边的蓝色“查询”按钮就行。
我想给某个学生补录一条今天的考勤，点哪个按钮？,您看页面最右边，有个**绿色的按钮**，写着“+ 新增考勤”，点它。
弹出来的新增考勤窗口里，时间怎么填？,“日期”那里选哪一天，“签到时间”和“签退时间”您可以直接打数字，比如早上就输 `07:55`，下午输 `17:00`。
填好时间后点哪里保存？,点这个小窗口右下角的**绿色“保存”按钮**。注意哦，考勤这块的按钮大都是绿色的。
列表里有的状态是绿色的“正常”，有的是黄色的“迟到”，这是系统自己算的吗？,对，系统很聪明。如果您填的签到时间晚于早上8点（08:00），它就会自动标成**黄色的“迟到”**；8点之前就是**绿色的“正常”**。
我发现有一条记录的时间填错了，能改吗？,能改。您看表格每一行的最后面，有蓝色的字写着“编辑”，点这个字就能把刚才那个窗口弹出来重新改时间。
在编辑考勤的窗口里，左下角那个浅红色的按钮是干啥的？,那个是“删除”按钮。如果您这条考勤记错了，想彻底不要了，就点这个浅红色的按钮把它删掉。
我点查询之后，列表里显示的时间是乱的还是按顺序的？,系统会自动帮您按日期排好序，最早的日期在最上面，查起来很方便。
我在这个网页上弄了半天，要是把浏览器关了，刚才加的学生还在吗？,在的。这个系统会自动把数据存在您的浏览器里。您下次再开这个网页，之前输的人名、课表都还在。
那要是我换了一台电脑打开这个文件，数据还有吗？,哎，那就不在了。因为它是存在您现在这台电脑的浏览器里的，换了电脑就像换了个新本子，得重新记。
如果我不小心点错了什么地方，界面卡住了或者不对劲，咋办？,最简单的办法就是“刷新”一下。您可以按键盘上的 F5 键，或者点浏览器地址栏旁边的那个转圈圈的小箭头，重新载入一遍就好了。
这个系统能把学生名单导出来变成Excel表格吗？,目前这个简易版系统只能在网页上看，还不能导出成Excel表格文件。
我看考勤表里有个学生没签退时间，那里显示两根短横线，这行吗？,可以的。如果没填签退时间，系统就会显示 `--`，这不影响记录，之后您可以随时点“编辑”给他补上。
